[2023-12-18 12:37:52,346] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,411] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,475] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,539] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,602] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,666] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,730] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,794] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,858] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,923] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,987] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,051] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,114] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,178] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,243] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,307] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,371] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,436] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,500] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,563] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,627] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,691] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,755] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,819] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,883] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,948] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,012] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,075] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,139] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,203] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,267] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,331] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,395] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,460] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,524] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,587] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,652] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,716] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,780] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,844] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,909] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,973] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,037] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,100] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,164] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,228] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,292] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,356] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,421] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,485] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,549] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,612] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,676] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,740] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,804] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,868] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,933] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:55,997] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,061] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,125] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,189] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,253] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,317] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,381] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,446] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,510] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,573] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,637] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,701] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,765] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,829] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,893] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:56,958] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,022] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,085] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,149] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,213] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,277] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,341] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,406] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,470] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,534] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,597] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,662] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,726] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,790] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,854] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,919] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:57,983] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,047] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,110] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,174] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,238] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,302] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,366] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,431] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,495] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,558] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,622] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,686] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,750] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,814] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,878] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:58,943] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,007] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,070] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,134] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,198] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,262] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,326] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,390] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,456] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,520] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,583] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,647] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,711] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,775] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,839] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
